sAMAccountName,password,ou,Department,UserPrincipalName,GivenName,initials,Surname,sn,Displayname,Office,OfficePhone,Email,StreetAddress,City,State,PostalCode,Country,Title,Company
Richelle.Best,socimp123!,"OU=Legal,OU=SOCIMP Users,DC=socimp,DC=local",Legal,Richelle.Best@socimp.com,Richelle,D,Best,Richelle Best,Richelle Best,Legal Office,225-930-2367,Richelle.Best@socimp.com,504 Coventry Court,Baton Rouge,HN,10000,VN,Legal Staff,SOC in my Pocket
William.Reed,socimp123!,"OU=Legal,OU=SOCIMP Users,DC=socimp,DC=local",Legal,William.Reed@socimp.com,William,L,Reed,William Reed,William Reed,Legal Office,602-523-6606,William.Reed@socimp.com,4075 Coplin Avenue,Phoenix,HN,10000,VN,Legal Staff,SOC in my Pocket
Anna.Tabron,socimp123!,"OU=Purchasing,OU=SOCIMP Users,DC=socimp,DC=local",Purchasing,Anna.Tabron@socimp.com,Anna,K,Tabron,Anna Tabron,Anna Tabron,Purchasing Office,626-210-7560,Anna.Tabron@socimp.com,4931 Rainbow Road,Los Angeles,HN,10000,VN,Purchasing Staff,SOC in my Pocket
Judith.Smith,socimp123!,"OU=Purchasing,OU=SOCIMP Users,DC=socimp,DC=local",Purchasing,Judith.Smith@socimp.com,Judith,T,Smith,Judith Smith,Judith Smith,Purchasing Office,818-369-3876,Judith.Smith@socimp.com,4486 Edsel Road,Los Angeles,HN,10000,VN,Purchasing Staff,SOC in my Pocket
Ora.Moon,socimp123!,"OU=Purchasing,OU=SOCIMP Users,DC=socimp,DC=local",Purchasing,Ora.Moon@socimp.com,Ora,M,Moon,Ora Moon,Ora Moon,Purchasing Office,605-865-6390,Ora.Moon@socimp.com,4678 Leroy Lane,Timber Lake,HN,10000,VN,Purchasing Staff,SOC in my Pocket
John.Tuck,socimp123!,"OU=Purchasing,OU=SOCIMP Users,DC=socimp,DC=local",Purchasing,John.Tuck@socimp.com,John,D,Tuck,John Tuck,John Tuck,Purchasing Office,541-890-8841,John.Tuck@socimp.com,3536 Skinner Hollow Road,Medford,HN,10000,VN,Purchasing Staff,SOC in my Pocket
Cynthia.Gutierrez,socimp123!,"OU=Purchasing,OU=SOCIMP Users,DC=socimp,DC=local",Purchasing,Cynthia.Gutierrez@socimp.com,Cynthia,B,Gutierrez,Cynthia Gutierrez,Cynthia Gutierrez,Purchasing Office,337-240-9607,Cynthia.Gutierrez@socimp.com,3885 Sherwood Circle,Lake Charles,HN,10000,VN,Purchasing Staff,SOC in my Pocket
Vincent.Simas,iloveyou123,"OU=Purchasing,OU=SOCIMP Users,DC=socimp,DC=local",Purchasing,Vincent.Simas@socimp.com,Vincent,E,Simas,Vincent Simas,Vincent Simas,Purchasing Office,908-497-7017,Vincent.Simas@socimp.com,1318 Caynor Circle,Cranford,HN,10000,VN,Purchasing Staff,SOC in my Pocket
Keith.Lucero,socimp123!,"OU=Purchasing,OU=SOCIMP Users,DC=socimp,DC=local",Purchasing,Keith.Lucero@socimp.com,Keith,J,Lucero,Keith Lucero,Keith Lucero,Purchasing Office,949-808-5562,Keith.Lucero@socimp.com,3754 Hillcrest Lane,Riverside,HN,10000,VN,Purchasing Staff,SOC in my Pocket
Joseph.Erwin,socimp123!,"OU=Purchasing,OU=SOCIMP Users,DC=socimp,DC=local",Purchasing,Joseph.Erwin@socimp.com,Joseph,D,Erwin,Joseph Erwin,Joseph Erwin,Purchasing Office,812-796-1101,Joseph.Erwin@socimp.com,2783 Stratford Park,Louisville,HN,10000,VN,Purchasing Staff,SOC in my Pocket
Beth.Reed,socimp123!,"OU=Purchasing,OU=SOCIMP Users,DC=socimp,DC=local",Purchasing,Beth.Reed@socimp.com,Beth,J,Reed,Beth Reed,Beth Reed,Purchasing Office,307-787-0786,Beth.Reed@socimp.com,3467 Archwood Avenue,Mountain View,HN,10000,VN,Purchasing Staff,SOC in my Pocket
Tracey.Williams,socimp123!,"OU=Purchasing,OU=SOCIMP Users,DC=socimp,DC=local",Purchasing,Tracey.Williams@socimp.com,Tracey,L,Williams,Tracey Williams,Tracey Williams,Purchasing Office,419-278-9844,Tracey.Williams@socimp.com,239 Davis Place,Deshler,HN,10000,VN,Purchasing Staff,SOC in my Pocket
Connie.Brown,socimp123!,"OU=Purchasing,OU=SOCIMP Users,DC=socimp,DC=local",Purchasing,Connie.Brown@socimp.com,Connie,E,Brown,Connie Brown,Connie Brown,Purchasing Office,678-338-4633,Connie.Brown@socimp.com,201 Layman Court,Roswell,HN,10000,VN,Purchasing Staff,SOC in my Pocket
Stacy.Tucker,socimp123!,"OU=Purchasing,OU=SOCIMP Users,DC=socimp,DC=local",Purchasing,Stacy.Tucker@socimp.com,Stacy,J,Tucker,Stacy Tucker,Stacy Tucker,Purchasing Office,817-407-8628,Stacy.Tucker@socimp.com,546 Waldeck Street,Dallas,HN,10000,VN,Purchasing Staff,SOC in my Pocket
Rona.Murphy,socimp123!,"OU=Purchasing,OU=SOCIMP Users,DC=socimp,DC=local",Purchasing,Rona.Murphy@socimp.com,Rona,E,Murphy,Rona Murphy,Rona Murphy,Purchasing Office,918-582-3489,Rona.Murphy@socimp.com,2581 Camel Back Road,Tulsa,HN,10000,VN,Purchasing Staff,SOC in my Pocket
Denise.Clark,socimp123!,"OU=Purchasing,OU=SOCIMP Users,DC=socimp,DC=local",Purchasing,Denise.Clark@socimp.com,Denise,B,Clark,Denise Clark,Denise Clark,Purchasing Office,775-426-1953,Denise.Clark@socimp.com,2925 Sheila Lane,Fallon,HN,10000,VN,Purchasing Staff,SOC in my Pocket
Antoinette.McCaffrey,iloveyou123,"OU=Purchasing,OU=SOCIMP Users,DC=socimp,DC=local",Purchasing,Antoinette.McCaffrey@socimp.com,Antoinette,C,McCaffrey,Antoinette McCaffrey,Antoinette McCaffrey,Purchasing Office,907-559-9499,Antoinette.McCaffrey@socimp.com,3491 Jerry Toth Drive,Point Baker,HN,10000,VN,Purchasing Staff,SOC in my Pocket
Katherine.Garcia,socimp123!,"OU=Purchasing,OU=SOCIMP Users,DC=socimp,DC=local",Purchasing,Katherine.Garcia@socimp.com,Katherine,B,Garcia,Katherine Garcia,Katherine Garcia,Purchasing Office,509-238-3829,Katherine.Garcia@socimp.com,4693 Dane Street,Green Bluff,HN,10000,VN,Purchasing Staff,SOC in my Pocket
Michael.Perkins,socimp123!,"OU=Purchasing,OU=SOCIMP Users,DC=socimp,DC=local",Purchasing,Michael.Perkins@socimp.com,Michael,A,Perkins,Michael Perkins,Michael Perkins,Purchasing Office,718-661-7920,Michael.Perkins@socimp.com,1235 Briercliff Road,Flushing,HN,10000,VN,Purchasing Staff,SOC in my Pocket
Jon.Douglas,socimp123!,"OU=Purchasing,OU=SOCIMP Users,DC=socimp,DC=local",Purchasing,Jon.Douglas@socimp.com,Jon,C,Douglas,Jon Douglas,Jon Douglas,Purchasing Office,262-725-5940,Jon.Douglas@socimp.com,4667 Joseph Street,West Allis,HN,10000,VN,Purchasing Staff,SOC in my Pocket
Manuel.Eiler,socimp123!,"OU=Purchasing,OU=SOCIMP Users,DC=socimp,DC=local",Purchasing,Manuel.Eiler@socimp.com,Manuel,L,Eiler,Manuel Eiler,Manuel Eiler,Purchasing Office,603-647-4078,Manuel.Eiler@socimp.com,3139 Elliott Street,Manchester,HN,10000,VN,Purchasing Staff,SOC in my Pocket
Susan.Lightsey,socimp123!,"OU=Purchasing,OU=SOCIMP Users,DC=socimp,DC=local",Purchasing,Susan.Lightsey@socimp.com,Susan,D,Lightsey,Susan Lightsey,Susan Lightsey,Purchasing Office,702-397-6992,Susan.Lightsey@socimp.com,2745 Mesa Drive,Overton,HN,10000,VN,Purchasing Staff,SOC in my Pocket
Yvonne.Rudolph,socimp123!,"OU=Marketing,OU=SOCIMP Users,DC=socimp,DC=local",Marketing,Yvonne.Rudolph@socimp.com,Yvonne,A,Rudolph,Yvonne Rudolph,Yvonne Rudolph,Marketing Office,979-836-5437,Yvonne.Rudolph@socimp.com,1887 Colonial Drive,Brenham,HN,10000,VN,Marketing Staff,SOC in my Pocket
Christa.Franklin,socimp123!,"OU=Marketing,OU=SOCIMP Users,DC=socimp,DC=local",Marketing,Christa.Franklin@socimp.com,Christa,N,Franklin,Christa Franklin,Christa Franklin,Marketing Office,760-258-5027,Christa.Franklin@socimp.com,4534 Parkway Street,Los Angeles,HN,10000,VN,Marketing Staff,SOC in my Pocket
Theodore.Mendez,socimp123!,"OU=Marketing,OU=SOCIMP Users,DC=socimp,DC=local",Marketing,Theodore.Mendez@socimp.com,Theodore,C,Mendez,Theodore Mendez,Theodore Mendez,Marketing Office,330-684-8295,Theodore.Mendez@socimp.com,4439 Wildwood Street,Orrville,HN,10000,VN,Marketing Staff,SOC in my Pocket
James.Rasheed,socimp123!,"OU=Marketing,OU=SOCIMP Users,DC=socimp,DC=local",Marketing,James.Rasheed@socimp.com,James,J,Rasheed,James Rasheed,James Rasheed,Marketing Office,304-277-2722,James.Rasheed@socimp.com,1625 Froe Street,Warwood,HN,10000,VN,Marketing Staff,SOC in my Pocket
Leslie.Stephens,socimp123!,"OU=Marketing,OU=SOCIMP Users,DC=socimp,DC=local",Marketing,Leslie.Stephens@socimp.com,Leslie,P,Stephens,Leslie Stephens,Leslie Stephens,Marketing Office,410-532-8698,Leslie.Stephens@socimp.com,4057 Cambridge Place,Baltimore,HN,10000,VN,Marketing Staff,SOC in my Pocket
Bradley.Whitely,socimp123!,"OU=Marketing,OU=SOCIMP Users,DC=socimp,DC=local",Marketing,Bradley.Whitely@socimp.com,Bradley,H,Whitely,Bradley Whitely,Bradley Whitely,Marketing Office,315-463-9767,Bradley.Whitely@socimp.com,4101 Buckhannan Avenue,Syracuse,HN,10000,VN,Marketing Staff,SOC in my Pocket
Barbara.Copeland,socimp123!,"OU=Marketing,OU=SOCIMP Users,DC=socimp,DC=local",Marketing,Barbara.Copeland@socimp.com,Barbara,S,Copeland,Barbara Copeland,Barbara Copeland,Marketing Office,303-340-9091,Barbara.Copeland@socimp.com,1073 Sweetwood Drive,Aurora,HN,10000,VN,Marketing Staff,SOC in my Pocket
Mark.Hayes,socimp123!,"OU=Marketing,OU=SOCIMP Users,DC=socimp,DC=local",Marketing,Mark.Hayes@socimp.com,Mark,T,Hayes,Mark Hayes,Mark Hayes,Marketing Office,978-648-4368,Mark.Hayes@socimp.com,2425 Levy Court,Worcester,HN,10000,VN,Marketing Staff,SOC in my Pocket
Richard.Bayliss,socimp123!,"OU=Marketing,OU=SOCIMP Users,DC=socimp,DC=local",Marketing,Richard.Bayliss@socimp.com,Richard,L,Bayliss,Richard Bayliss,Richard Bayliss,Marketing Office,765-576-3689,Richard.Bayliss@socimp.com,4558 Capitol Avenue,Richmond,HN,10000,VN,Marketing Staff,SOC in my Pocket
Bobby.Becnel,socimp123!,"OU=Marketing,OU=SOCIMP Users,DC=socimp,DC=local",Marketing,Bobby.Becnel@socimp.com,Bobby,N,Becnel,Bobby Becnel,Bobby Becnel,Marketing Office,262-595-9067,Bobby.Becnel@socimp.com,3212 Fairfield Road,Kenosha,HN,10000,VN,Marketing Staff,SOC in my Pocket
Irene.Terrell,socimp123!,"OU=Management,OU=SOCIMP Users,DC=socimp,DC=local",Management,Irene.Terrell@socimp.com,Irene,J,Terrell,Irene Terrell,Irene Terrell,Management Office,318-663-4940,Irene.Terrell@socimp.com,1964 Emerson Road,Shreveport,HN,10000,VN,CAO,SOC in my Pocket
Lionel.Garey,socimp123!,"OU=Management,OU=SOCIMP Users,DC=socimp,DC=local",Management,Lionel.Garey@socimp.com,Lionel,T,Garey,Lionel Garey,Lionel Garey,Management Office,225-715-1914,Lionel.Garey@socimp.com,366 Eva Pearl Street,Baton Rouge,HN,10000,VN,CBO,SOC in my Pocket
Renee.Stone,socimp123!,"OU=Management,OU=SOCIMP Users,DC=socimp,DC=local",Management,Renee.Stone@socimp.com,Renee,J,Stone,Renee Stone,Renee Stone,Management Office,336-881-9875,Renee.Stone@socimp.com,1505 Fire Access Road,High Point,HN,10000,VN,CCO,SOC in my Pocket
Jenna.Rushton,socimp123!,"OU=Management,OU=SOCIMP Users,DC=socimp,DC=local",Management,Jenna.Rushton@socimp.com,Jenna,M,Rushton,Jenna Rushton,Jenna Rushton,Management Office,404-568-4939,Jenna.Rushton@socimp.com,530 Junior Avenue,Atlanta,HN,10000,VN,CDO,SOC in my Pocket
Michelle.Tobin,iloveyou123,"OU=Management,OU=SOCIMP Users,DC=socimp,DC=local",Management,Michelle.Tobin@socimp.com,Michelle,W,Tobin,Michelle Tobin,Michelle Tobin,Management Office,614-727-4508,Michelle.Tobin@socimp.com,593 Palmer Road,Columbus,HN,10000,VN,CEO,SOC in my Pocket
Roger.Porter,socimp123!,"OU=Management,OU=SOCIMP Users,DC=socimp,DC=local",Management,Roger.Porter@socimp.com,Roger,B,Porter,Roger Porter,Roger Porter,Management Office,856-336-8811,Roger.Porter@socimp.com,2515 Lee Avenue,Pennsauken,HN,10000,VN,CFO,SOC in my Pocket
Bridget.Griffing,socimp123!,"OU=Management,OU=SOCIMP Users,DC=socimp,DC=local",Management,Bridget.Griffing@socimp.com,Bridget,N,Griffing,Bridget Griffing,Bridget Griffing,Management Office,646-865-7318,Bridget.Griffing@socimp.com,785 Forest Avenue,New York,HN,10000,VN,CGO,SOC in my Pocket
Roy.Gully,socimp123!,"OU=Management,OU=SOCIMP Users,DC=socimp,DC=local",Management,Roy.Gully@socimp.com,Roy,C,Gully,Roy Gully,Roy Gully,Management Office,720-744-3789,Roy.Gully@socimp.com,84 Clay Lick Road,Denver,HN,10000,VN,CHO,SOC in my Pocket
Sherry.Eastman,socimp123!,"OU=Management,OU=SOCIMP Users,DC=socimp,DC=local",Management,Sherry.Eastman@socimp.com,Sherry,J,Eastman,Sherry Eastman,Sherry Eastman,Management Office,334-561-6230,Sherry.Eastman@socimp.com,130 Turkey Pen Lane,Montgomery,HN,10000,VN,CYO,SOC in my Pocket
France.Hill,socimp123!,"OU=Management,OU=SOCIMP Users,DC=socimp,DC=local",Management,France.Hill@socimp.com,France,M,Hill,France Hill,France Hill,Management Office,732-579-9142,France.Hill@socimp.com,1892 Webster Street,Newark,HN,10000,VN,CJO,SOC in my Pocket
Louise.Quinn,socimp123!,"OU=IT,OU=SOCIMP Users,DC=socimp,DC=local",IT,Louise.Quinn@socimp.com,Louise,J,Quinn,Louise Quinn,Louise Quinn,IT Office,703-820-9799,Louise.Quinn@socimp.com,2466 Perine Street,Arlington,HN,10000,VN,Software Engineer,SOC in my Pocket
Elaine.Thompson,socimp123!,"OU=IT,OU=SOCIMP Users,DC=socimp,DC=local",IT,Elaine.Thompson@socimp.com,Elaine,D,Thompson,Elaine Thompson,Elaine Thompson,IT Office,954-438-4960,Elaine.Thompson@socimp.com,2132 West Fork Drive,Hollywood,HN,10000,VN,Software Engineer,SOC in my Pocket
Paul.Gonzalez,socimp123!,"OU=IT,OU=SOCIMP Users,DC=socimp,DC=local",IT,Paul.Gonzalez@socimp.com,Paul,S,Gonzalez,Paul Gonzalez,Paul Gonzalez,IT Office,502-827-3609,Paul.Gonzalez@socimp.com,4354 Karen Lane,Radcliff,HN,10000,VN,Software Engineer,SOC in my Pocket
Jesus.Basile,socimp123!,"OU=IT,OU=SOCIMP Users,DC=socimp,DC=local",IT,Jesus.Basile@socimp.com,Jesus,L,Basile,Jesus Basile,Jesus Basile,IT Office,813-713-5503,Jesus.Basile@socimp.com,4221 Saints Alley,Polk City,HN,10000,VN,Helpdesk Specialist,SOC in my Pocket
Stacy.Miller,socimp123!,"OU=IT,OU=SOCIMP Users,DC=socimp,DC=local",IT,Stacy.Miller@socimp.com,Stacy,F,Miller,Stacy Miller,Stacy Miller,IT Office,409-916-8768,Stacy.Miller@socimp.com,1414 Lynn Ogden Lane,Texas City,HN,10000,VN,Helpdesk Specialist,SOC in my Pocket
Charles.Robertson,socimp123!,"OU=IT,OU=SOCIMP Users,DC=socimp,DC=local",IT,Charles.Robertson@socimp.com,Charles,C,Robertson,Charles Robertson,Charles Robertson,IT Office,707-568-4556,Charles.Robertson@socimp.com,1380 Marietta Street,Santa Rosa,HN,10000,VN,Helpdesk Specialist,SOC in my Pocket
George.Mosely,iloveyou123,"OU=IT,OU=SOCIMP Users,DC=socimp,DC=local",IT,George.Mosely@socimp.com,George,L,Mosely,George Mosely,George Mosely,IT Office,703-392-5629,George.Mosely@socimp.com,1455 Golf Course Drive,Manassas,HN,10000,VN,System Administrator,SOC in my Pocket
Virginia.Norris,socimp123!,"OU=IT,OU=SOCIMP Users,DC=socimp,DC=local",IT,Virginia.Norris@socimp.com,Virginia,L,Norris,Virginia Norris,Virginia Norris,IT Office,267-374-7677,Virginia.Norris@socimp.com,2360 Valley Drive,Plymouth Meeting,HN,10000,VN,Network Engineer,SOC in my Pocket
Matthew.Gilligan,socimp123!,"OU=IT,OU=SOCIMP Users,DC=socimp,DC=local",IT,Matthew.Gilligan@socimp.com,Matthew,D,Gilligan,Matthew Gilligan,Matthew Gilligan,IT Office,508-282-0872,Matthew.Gilligan@socimp.com,3370 Stadium Drive,Brockton,HN,10000,VN,QA Specialist,SOC in my Pocket
Mary.Barnett,socimp123!,"OU=IT,OU=SOCIMP Users,DC=socimp,DC=local",IT,Mary.Barnett@socimp.com,Mary,R,Barnett,Mary Barnett,Mary Barnett,IT Office,808-550-0871,Mary.Barnett@socimp.com,3302 Arron Smith Drive,Honolulu,HN,10000,VN,QA Specialist,SOC in my Pocket
Cory.Wilson,socimp123!,"OU=HR,OU=SOCIMP Users,DC=socimp,DC=local",HR,Cory.Wilson@socimp.com,Cory,J,Wilson,Cory Wilson,Cory Wilson,HR Office,225-362-5827,Cory.Wilson@socimp.com,1809 Washburn Street,Baton Rouge,HN,10000,VN,HR Specialist,SOC in my Pocket
Clarence.Olson,socimp123!,"OU=HR,OU=SOCIMP Users,DC=socimp,DC=local",HR,Clarence.Olson@socimp.com,Clarence,J,Olson,Clarence Olson,Clarence Olson,HR Office,859-685-3689,Clarence.Olson@socimp.com,4571 Mayo Street,Lexington,HN,10000,VN,HR Specialist,SOC in my Pocket
Jill.Glass,socimp123!,"OU=HR,OU=SOCIMP Users,DC=socimp,DC=local",HR,Jill.Glass@socimp.com,Jill,C,Glass,Jill Glass,Jill Glass,HR Office,256-438-9841,Jill.Glass@socimp.com,4204 Turnpike Drive,Birmingham,HN,10000,VN,HR Specialist,SOC in my Pocket
Jason.Muir,socimp123!,"OU=HR,OU=SOCIMP Users,DC=socimp,DC=local",HR,Jason.Muir@socimp.com,Jason,S,Muir,Jason Muir,Jason Muir,HR Office,610-766-9858,Jason.Muir@socimp.com,3051 Lyndon Street,Philadelphia,HN,10000,VN,HR Staff,SOC in my Pocket
